repeat,epoch,training_loss,training_accuracy,quantum_gradient_norm,head_gradient_norm
0,1,0.7289977999933677,0.5119047619047619,0.2700818860786361,0.16317575762537045
0,2,0.6886889966171242,0.5238095238095238,0.21220500638412243,0.0795814496573357
0,3,0.666206450099012,0.6369047619047619,0.0979297423060769,0.014153665174246325
0,4,0.6626219461533054,0.6011904761904762,0.0383613889319077,0.05283945136340219
0,5,0.66860019380328,0.5297619047619048,0.1112797014388907,0.0863856218895835
0,6,0.6731444867194557,0.5,0.1448311687353604,0.10215352577559327
0,7,0.6721615638829678,0.5,0.14711525654691293,0.10364576294841496
0,8,0.6667561344020849,0.5059523809523809,0.12961032920312893,0.09559630971901298
0,9,0.6594463973871849,0.5357142857142857,0.09860824962864358,0.08238753193953946
0,10,0.6525425396698932,0.6190476190476191,0.05950849845999141,0.06743925282211637
0,11,0.6475631085016647,0.5952380952380952,0.027005083754410075,0.05346391759711748
0,12,0.644927227187308,0.6547619047619048,0.046250645022468034,0.04330739200009703
0,13,0.6439150715745728,0.6369047619047619,0.08064857634144856,0.03940941717437849
0,14,0.643139677135864,0.6369047619047619,0.10623111365698826,0.04066864292906445
0,15,0.6413540656439799,0.6369047619047619,0.11909236234456906,0.043240162307653436
0,16,0.6380206285914735,0.6369047619047619,0.11873017475858696,0.04480897085904908
0,17,0.6333462379456283,0.6369047619047619,0.10623875515884072,0.04544337383756241
0,18,0.628003490145838,0.6488095238095238,0.08373178868453743,0.046338092332178615
0,19,0.6228540008309319,0.6607142857142857,0.05457976556005024,0.04847857627836047
0,20,0.6186016419458459,0.6428571428571429,0.0266653653128276,0.051982922834625814
0,21,0.6154533110476609,0.7083333333333334,0.02761868614667689,0.0560824662666284
0,22,0.6130165516594772,0.7083333333333334,0.04916980693768133,0.05956974837279347
0,23,0.610561659275607,0.7380952380952381,0.06519348948278872,0.06138436465904684
0,24,0.6074935842002358,0.75,0.07122852028707599,0.061092666817952314
0,25,0.603675223601113,0.7797619047619048,0.06711471446626477,0.05908012652138067
0,26,0.5994259835559694,0.7797619047619048,0.0547852401585917,0.05645132405225699
0,27,0.5952616079816773,0.7738095238095238,0.03957496218472541,0.054642272466019826
0,28,0.5915220987795509,0.7678571428571429,0.033825612489218906,0.05465271173382562
0,29,0.5881274057962542,0.7797619047619048,0.04406918486165861,0.056304975345074476
0,30,0.5846743375531704,0.7619047619047619,0.05669529932752626,0.058387893009396306
0,31,0.5807746610766842,0.7619047619047619,0.06147625767623962,0.05953774641654237
0,32,0.5763771787628471,0.8095238095238095,0.05465893252199229,0.0590209878869596
0,33,0.5718536995297806,0.8095238095238095,0.03762188656595557,0.05708697100299855
0,34,0.5677414844431875,0.8035714285714286,0.021320319320720885,0.05480589987375642
0,35,0.5642973892062112,0.8095238095238095,0.029806932731616664,0.053262676487116536
0,36,0.5612725285894453,0.8154761904761905,0.04421535486629106,0.05256810148853115
0,37,0.5582084535185502,0.8154761904761905,0.04695938379793909,0.05198321581344441
0,38,0.5549496789390385,0.8154761904761905,0.03513914124391724,0.051138966510269786
0,39,0.5517578225489612,0.8095238095238095,0.016122352916088448,0.05060663445120736
0,40,0.5488993806628687,0.8095238095238095,0.026690184971504733,0.05096942494730294
0,41,0.5461954959742428,0.8095238095238095,0.045621240245010956,0.05155495399916707
0,42,0.543211517858536,0.8095238095238095,0.04804598956742861,0.05100674728663554
0,43,0.5399267111783249,0.8035714285714286,0.03299819088837822,0.04918791048768617
0,44,0.5367433243154208,0.8095238095238095,0.01821162018793968,0.04740499795566316
0,45,0.5338044194851342,0.8154761904761905,0.02844697032727748,0.046519252761487995
0,46,0.530854583446025,0.8154761904761905,0.03489156652670524,0.046064433664833065
0,47,0.5277958839446985,0.8154761904761905,0.02829635705185298,0.045734795356435376
0,48,0.5248277429812609,0.8035714285714286,0.02372361713831151,0.0459708141162721
0,49,0.5219129016713029,0.8095238095238095,0.031096420894874365,0.046379134723344706
0,50,0.5187924650129515,0.8095238095238095,0.03197148459457927,0.045780426781251916
0,51,0.5155599227374505,0.8154761904761905,0.02972923802466482,0.04430877095786559
0,52,0.5123725660946671,0.8154761904761905,0.036394125734374935,0.04312002332084392
0,53,0.5089882978942297,0.8154761904761905,0.04109913914323018,0.042609990005313444
0,54,0.5052661319510133,0.8154761904761905,0.039598426356598763,0.04271808641871228
0,55,0.5014006088274311,0.8095238095238095,0.04393562598522724,0.043481193967729384
0,56,0.49736223904979115,0.8154761904761905,0.05060401163514941,0.04390124453938759
0,57,0.49294200990794157,0.8214285714285714,0.04882719095796198,0.04306284002377276
0,58,0.48831136218680504,0.8214285714285714,0.05312730151914126,0.04218279162566097
0,59,0.4834204521621396,0.8214285714285714,0.05864207626547285,0.04207859519775358
0,60,0.47811227291397274,0.8333333333333334,0.054472519981201055,0.04269836274019654
0,61,0.4726191284111976,0.8392857142857143,0.05811981627098017,0.04418915423186028
0,62,0.4668512129407942,0.8452380952380952,0.05771252186237387,0.044829573207124745
0,63,0.4609519116939495,0.8452380952380952,0.05125213513980898,0.044434965728394844
0,64,0.45513193616301467,0.8571428571428571,0.04886999761803854,0.04488056106995077
0,65,0.44940916121284646,0.8630952380952381,0.042307651115282174,0.04697054003789723
0,66,0.44411961347130535,0.875,0.04417048948904135,0.049420786857695805
0,67,0.4391888216309688,0.8928571428571429,0.032659947185239416,0.04940094649754035
