repeat,split_seed,row_id,split
0,10042,162,train
0,10042,101,train
0,10042,29,train
0,10042,160,train
0,10042,142,train
0,10042,218,train
0,10042,229,train
0,10042,202,train
0,10042,126,train
0,10042,165,train
0,10042,148,train
0,10042,115,train
0,10042,61,train
0,10042,127,train
0,10042,204,train
0,10042,209,train
0,10042,221,train
0,10042,80,train
0,10042,33,train
0,10042,189,train
0,10042,140,train
0,10042,114,train
0,10042,211,train
0,10042,170,train
0,10042,27,train
0,10042,206,train
0,10042,216,train
0,10042,222,train
0,10042,6,train
0,10042,76,train
0,10042,237,train
0,10042,233,train
0,10042,191,train
0,10042,66,train
0,10042,181,train
0,10042,225,train
0,10042,200,train
0,10042,228,train
0,10042,179,train
0,10042,37,train
0,10042,136,train
0,10042,113,train
0,10042,63,train
0,10042,106,train
0,10042,112,train
0,10042,102,train
0,10042,235,train
0,10042,32,train
0,10042,230,train
0,10042,71,train
0,10042,168,train
0,10042,0,train
0,10042,125,train
0,10042,53,train
0,10042,87,train
0,10042,187,train
0,10042,175,train
0,10042,74,train
0,10042,98,train
0,10042,164,train
0,10042,94,train
0,10042,75,train
0,10042,234,train
0,10042,25,train
0,10042,159,train
0,10042,217,train
0,10042,190,train
0,10042,139,train
0,10042,78,train
0,10042,239,train
0,10042,120,train
0,10042,208,train
0,10042,72,train
0,10042,95,train
0,10042,24,train
0,10042,123,train
0,10042,46,train
0,10042,180,train
0,10042,215,train
0,10042,145,train
0,10042,176,train
0,10042,45,train
0,10042,232,train
0,10042,20,train
0,10042,172,train
0,10042,34,train
0,10042,107,train
0,10042,227,train
0,10042,108,train
0,10042,22,train
0,10042,156,train
0,10042,91,train
0,10042,39,train
0,10042,83,train
0,10042,60,train
0,10042,103,train
0,10042,184,train
0,10042,68,train
0,10042,121,train
0,10042,85,train
0,10042,55,train
0,10042,197,train
0,10042,167,train
0,10042,118,train
0,10042,220,train
0,10042,214,train
0,10042,153,train
0,10042,89,train
0,10042,174,train
0,10042,42,train
0,10042,44,train
0,10042,152,train
0,10042,41,train
0,10042,231,train
0,10042,111,train
0,10042,2,train
0,10042,99,train
0,10042,64,train
0,10042,192,train
0,10042,129,train
0,10042,149,train
0,10042,158,train
0,10042,19,train
0,10042,49,train
0,10042,81,train
0,10042,92,train
0,10042,224,train
0,10042,161,train
0,10042,8,train
0,10042,4,train
0,10042,210,train
0,10042,199,train
0,10042,124,train
0,10042,35,train
0,10042,13,train
0,10042,188,train
0,10042,36,train
0,10042,48,train
0,10042,157,train
0,10042,43,train
0,10042,150,train
0,10042,30,train
0,10042,151,train
0,10042,65,train
0,10042,201,train
0,10042,134,train
0,10042,143,train
0,10042,130,train
0,10042,58,train
0,10042,50,train
0,10042,212,train
0,10042,116,train
0,10042,54,train
0,10042,193,train
0,10042,137,train
0,10042,28,train
0,10042,146,train
0,10042,105,train
0,10042,73,train
0,10042,198,train
0,10042,7,train
0,10042,163,train
0,10042,23,train
0,10042,195,train
0,10042,26,train
0,10042,131,train
0,10042,205,train
0,10042,186,train
0,10042,40,test
0,10042,9,test
0,10042,226,test
0,10042,82,test
0,10042,178,test
